ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family,Authors,DataEntry,Consultants,Representations,alt_names,date
avarbatlukhdialect,Avar (Batlukh dialect),batl1238,Batlux,ava,Eurasia,,,Nakh-Daghestanian,,,,,,
avarhiddialect,Avar (Hid dialect),hidd1238,Hid,ava,Eurasia,,,Nakh-Daghestanian,,,,,,
avarandalaldialect,Avar (Andalal dialect),anda1281,Andalal-Gxdatl,ava,Eurasia,,,Nakh-Daghestanian,,,,,,
avarantsukhdialect,Avar (Antsukh dialect),ancu1238,Ancux,ava,Eurasia,,,Nakh-Daghestanian,,,,,,
avarzakatalydialect,Avar (Zakataly dialect),zaka1239,Zakataly,ava,Eurasia,,,Nakh-Daghestanian,,,,,,
avarkarakhdialect,Avar (Karakh dialect),kara1473,Karax,ava,Eurasia,,,Nakh-Daghestanian,,,,,,
andi,Andi,andi1255,Andi,ani,Eurasia,42.8078,46.2919,Nakh-Daghestanian,,,,,,
akhvakhnortherndialect,Akhvakh (Northern dialect),akhv1239,Northern Akhvakh,akv,Eurasia,42.4003,46.3037,Nakh-Daghestanian,,,,,,
akhvakhsoutherndialect,Akhvakh (Southern dialect),akhv1239,Northern Akhvakh,akv,Eurasia,42.4003,46.3037,Nakh-Daghestanian,,,,,,
bagvalal,Bagvalal,bagv1239,Bagvalal,kva,Eurasia,42.3966,46.1041,Nakh-Daghestanian,,,,,,
botlikh,Botlikh,botl1242,Botlikh,bph,Eurasia,42.665,46.22,Nakh-Daghestanian,,,,,,
godoberi,Godoberi,ghod1238,Godoberi,gdo,Eurasia,42.7428,46.2252,Nakh-Daghestanian,,,,,,
karata,Karata,kara1474,Karata-Tukita,kpt,Eurasia,42.6501,46.3151,Nakh-Daghestanian,,,,,,
karatatokitindialect,Karata (Tokitin dialect),toki1238,Tokita,kpt,Eurasia,42.5727,46.3724,Nakh-Daghestanian,,,,,,
khwarshikhwarshidialect,Khwarshi (Khwarshi dialect),xvar1237,Xvarshi,khv,Eurasia,,,Nakh-Daghestanian,,,,,,
hinuq,Hinuq,hinu1240,Hinuq,gin,Eurasia,42.4502,45.8064,Nakh-Daghestanian,,,,,,
tindi,Tindi,tind1238,Tindi,tin,Eurasia,42.3316,45.9227,Nakh-Daghestanian,,,,,,
chamalal,Chamalal,cham1309,Chamalal,cji,Eurasia,42.5024,45.995,Nakh-Daghestanian,,,,,,
hunzib,Hunzib,hunz1247,Hunzib,huz,Eurasia,42.0808,46.1369,Nakh-Daghestanian,,,,,,
khwarshiinkhokvaridialect,Khwarshi (Inkhokvari dialect),inxo1238,Inxokvari,khv,Eurasia,,,Nakh-Daghestanian,,,,,,
tsezsagadadialect,Tsez (Sagada dialect),saga1261,Sagadin,ddo,Eurasia,,,Nakh-Daghestanian,,,,,,
lak,Lak,lakk1252,Lak,lbe,Eurasia,42.1328,47.0809,Nakh-Daghestanian,,,,,,
dargwa,Dargwa,darg1241,North-Central Dargwa,dar,Eurasia,42.4257,47.4388,Nakh-Daghestanian,,,,,,
dargwaitsaridialect,Dargwa (Itsari dialect),icar1234,Icari,dar,Eurasia,,,Nakh-Daghestanian,,,,,,
dargwakubachidialect,Dargwa (Kubachi dialect),kuba1248,Kubachi,dar,Eurasia,42.08504,47.601843,Nakh-Daghestanian,,,,,,
dargwakhajdakdialect,Dargwa (Khajdak dialect),kajt1238,Kajtak,dar,Eurasia,42.052428,47.776611,Nakh-Daghestanian,,,,,,
aghul,Aghul,aghu1253,Aghul,agx,Eurasia,41.9242,47.5843,Nakh-Daghestanian,,,,,,
archivariety1,Archi (variety 1),arch1244,Archi,aqc,Eurasia,42.3239,46.8267,Nakh-Daghestanian,,,,,,
budukh,Budukh,budu1248,Budukh,bdk,Eurasia,41.2272,48.3353,Nakh-Daghestanian,,,,,,
lezgian,Lezgian,lezg1247,Lezgian,lez,Eurasia,41.5157,47.8951,Nakh-Daghestanian,,,,,,
