ID,Transcription,Blacklist
ache,Phonemic,0
aghul,CyrillTrans;Phonemic,0
aghulkoshandialect,CyrillTrans;Phonemic,0
aguaruna,Phonemic,1
ahlaothavung,phonetic,0
akhvakhnortherndialect,CyrillTrans,0
akhvakhnortherndialect,CyrillTrans;Phonemic,0
akhvakhsoutherndialect,CyrillTrans;Phonemic,0
albaniantoskvariety,Phonemic,0
ancientaramaic,Phonemic,0
ancientgreek,LatinTrans,0
andi,CyrillTrans;Phonemic,0
andimunidialect,CyrillTrans;Phonemic,0
araona,Phonemic,1
archivariety1,CyrillTrans;Phonemic,0
archivariety2,CyrillTrans;Phonemic,0
armenianeasternvariety,Phonemic,0
armenianwesternvariety,Phonemic,0
avarandalaldialect,CyrillTrans,0
avarandalaldialect,CyrillTrans;Phonemic,0
avaransaltadialect,CyrillTrans,0
avarantsukhdialect,CyrillTrans,0
avarantsukhdialect,CyrillTrans;Phonemic,0
avararaderikhdialect,CyrillTrans,0
avarbatlukhdialect,CyrillTrans;Phonemic,0
avar,CyrillTrans,0
avar,CyrillTrans;Phonemic,0
avareastgergebildialect,CyrillTrans,0
avarhiddialect,CyrillTrans,0
avarhiddialect,CyrillTrans;Phonemic,0
avarkarakhdialect,CyrillTrans,0
avarkarakhdialect,CyrillTrans;Phonemic,0
avarkhunzakhdialect,CyrillTrans,0
avarkusurdialect,CyrillTrans;Phonemic,0
avarsalatavdialect,CyrillTrans,0
avarzakatalydialect,CyrillTrans;Phonemic,0
avestan,Phonemic,0
aymara,Phonemic,1
ayoreo,Phonemic,0
azerbaijani,CyrillTrans;Phonemic,0
azerbaijaniterekemedialect,CyrillTrans;Phonemic,0
bagvalal,CyrillTrans;Phonemic,0
bari,Phonemic,0
basque,Phonemic,0
baure,Phonemic,0
bellacoola,Phonemic,0
bengali,Phonemic,0
bengali,Phonemic;Standard,0
bezhta,CyrillTrans,0
bezhta,CyrillTrans;Phonemic,0
bezhtakhasharkhotadialect,CyrillTrans,0
bezhtakhasharkhotadialect,CyrillTrans;Phonemic,0
bezhtatlyadaldialectkarauzeksubdialect,CyrillTrans,0
bezhtatlyadaldialectkarauzeksubdialect,CyrillTrans;Phonemic,0
botlikh,CyrillTrans;Phonemic,0
botlikhmiarsodialect,CyrillTrans,0
botlikhmiarsodialect,CyrillTrans;Phonemic,0
breton,Phonemic,0
budukh,CyrillTrans;Phonemic,0
bulang2,phonetic,0
bulang3,phonetic,0
bulang,phonetic,0
bulgarian,Phonemic,0
canela,Phonemic,0
cashibo,Phonemic,1
catalan,StandardOrth,1
catuquina,Phonemic,1
cavinena,Phonemic,1
cayapa,Phonemic,0
cayuvava,Phonemic,1
centralthai,Phonemic,0
chacobo,Phonemic,0
chadong,,0
chamalal,CyrillTrans;Phonemic,0
chamalalgigatlidialect,CyrillTrans,0
chamalalgigatlidialect,CyrillTrans;Phonemic,0
chatinozacatepecvariety,Phonemic,0
chechenakkindialect,CyrillTrans;Phonemic,0
chechen,CyrillTrans,0
chechen,CyrillTrans;Phonemic,0
chipaya,Phonemic,0
chiriguano,Phonemic,0
chngapearicvariety,phonetic,0
chong,phonetic,0
chorote,Phonemic,0
chutrucvariety,phonetic,0
cofan,Phonemic,0
colorado,Phonemic,0
cuoi,phonetic,0
czech,StandardOrth,1
danish,StandardOrth,1
dargwachiragdialect,CyrillTrans;Phonemic,0
dargwa,CyrillTrans;Phonemic,0
dargwagapshimadialect,CyrillTrans;Phonemic,0
dargwagapshimashuktidialect,CyrillTrans,0
dargwagapshimashuktidialect,CyrillTrans;Phonemic,0
dargwagubdendialect,CyrillTrans;Phonemic,0
dargwaitsaridialect,CyrillTrans;Phonemic,0
dargwakadardialect,CyrillTrans;Phonemic,0
dargwakhajdakdialect,CyrillTrans,0
dargwakhajdakdialect,CyrillTrans;Phonemic,0
dargwakubachidialect,CyrillTrans,0
dargwakubachidialect,CyrillTrans;Phonemic,0
dargwamegebdialect,CyrillTrans;Phonemic,0
dargwamekegidialect,CyrillTrans,0
dargwamekegidialect,CyrillTrans;Phonemic,0
dargwamugidialect,CyrillTrans;Phonemic,0
dargwamuiridialect,CyrillTrans;Phonemic,0
dargwasirkhidialect,CyrillTrans;Phonemic,0
dargwatsudakhardialect,CyrillTrans;Phonemic,0
dargwatsudakhardialecttantysubdialect,CyrillTrans;Phonemic,0
dargwaurakhidialect,CyrillTrans;Phonemic,0
dargwausishadialect,CyrillTrans,0
dargwausishadialect,CyrillTrans;Phonemic,0
deaapalaungvariety,phonetic,0
dehong,Phonemic,0
dekwana,Phonemic,0
dutch,StandardOrth,1
ecunbuyang,Phonemic,0
elamite,Phonemic,0
embera,Phonemic,0
english,StandardOrth,1
epena,Phonemic,0
erzyamordvin,Phonemic,0
eseejjahuarayo,Phonemic,1
eseejja,Phonemic,1
estonian,Phonemic;StandOrth,0
finnish,Phonemic,0
french,StandardOrth,1
german,StandardOrth,1
goajiro,Phonemic,0
godoberi,CyrillTrans;Phonemic,0
gothic,StandardOrth,1
guarani,Phonemic,0
gununakune,Phonemic,0
hanoivn,phonetic,0
hausa,Phonemic,0
hawaiian,Phonemic,0
hindi,Phonemic,0
hindi,Phonemic;Standard,0
hinuq,CyrillTrans;Phonemic,0
hittite,LatinTrans,1
hlaibaotingvariety,Phonemic,0
hungarian,Standard;Phonemic,0
hunzib,CyrillTrans;Phonemic,0
iduh,phonetic,0
ignaciano,Phonemic,0
ingush,CyrillTrans,0
ingush,CyrillTrans;Phonemic,0
irish,StandardOrth,1
italian,StandardOrth,1
itonama,Phonemic,1
jamaicancreolelimonesecreoledialect,Phonemic,0
jinshadai,,0
judeotat,CyrillTrans,0
judeotat,CyrillTrans;Phonemic,0
kaingang,Phonemic,0
karaja,Phonemic,0
karata,CyrillTrans;Phonemic,0
karatatokitindialect,CyrillTrans;Phonemic,0
karok,Phonemic,0
kasong,phonetic,0
kemekemievariety,phonetic,0
khamuangchiangmaivariety,Phonemic,0
khanty,Phonemic,0
khapoong,phonetic,0
khasi,,1
khinalug,CyrillTrans;Phonemic,0
khwarshiinkhokvaridialect,CyrillTrans,0
khwarshiinkhokvaridialect,CyrillTrans;Phonemic,0
khwarshikhwarshidialect,CyrillTrans;Phonemic,0
khwarshikwantladadialect,CyrillTrans,0
kme2kemievariety,phonetic,0
knbapearicvariety,phonetic,0
komi,Phonemic,0
kryz,CyrillTrans,0
kryz,CyrillTrans;Phonemic,0
kumyk,CyrillTrans,0
kumyk,CyrillTrans;Phonemic,0
kumykdorgelidialect,CyrillTrans;Phonemic,0
kumykkajtakdialect,CyrillTrans;Phonemic,0
kumykkajtaktumenlerdialect,CyrillTrans;Phonemic,0
kumykkarabudakhkentdialect,CyrillTrans;Phonemic,0
kumykterbragundialect,CyrillTrans;Phonemic,0
kunza,Phonemic,0
lakarakuldialect,CyrillTrans;Phonemic,0
lakbalkhardialect,CyrillTrans,0
lakbalkhardialect,CyrillTrans;Phonemic,0
lak,CyrillTrans;Phonemic,0
lakkia,Phonemic,0
lakshalidialect,CyrillTrans,0
lakshalidialect,CyrillTrans;Phonemic,0
langjabuyang,Phonemic,0
latin,StandardOrth,1
latvian,StandardOrth,1
lengua,Phonemic,0
lezgian,CyrillTrans;Phonemic,0
lezgianqubadialect,CyrillTrans;Phonemic,0
lezgimikrakhdialect,CyrillTrans;Phonemic,0
liha,phonetic,0
lithuanian,StandardOrthTone,1
maca,Phonemic,0
macushi,Phonemic,0
mahasupaharikotgharidialect,Phonemic,0
malieng,phonetic,0
manganbmnn,phonetic,0
mangch,phonetic,0
mangvn,phonetic,0
mansi,Phonemic,0
maonan,,0
maori,Phonemic,0
mapudungun,Phonemic,0
marathi,Phonemic,0
marathi,Phonemic;Standard,0
mari,Phonemic,0
marquesan,Phonemic,0
mashcopiro,Phonemic,1
middleenglish,StandardOrth,1
middlehighgerman,StandardOrth,1
mlabri,phonetic,0
mocovi,Phonemic,0
moderngreek,LatinTrans,0
moseten,Phonemic,1
movima,Phonemic,1
muisca,LatinTrans,0
muisca,LatinTrans;Phonemic,0
mulam,,0
munduruku,Phonemic,0
nahuatlsierradezacapoaxtlavariety,Phonemic,0
negerhollands,Phonemic,0
nenets,Phonemic,0
nepali,Phonemic,0
ninamshirishanavariety,Phonemic,0
nivacle,Phonemic,0
nogai,CyrillTrans;Phonemic,0
northernhaida,Phonemic,0
northernsaami,Phonemic,0
nungfengshan,Phonemic,0
nunglazhai,Phonemic,0
nungninbei,Phonemic,0
nuuchahnulth,Phonemic,0
nyakur,phonetic,0
oldchurchslavonic,Phonemic,0
oldenglish,StandardOrth,1
oldhighgerman,StandardOrth,1
oldirish,StandardOrth,1
oldnorse,StandardOrth,1
oldprussian,StandardOrth,1
ossetic,CyrillTrans,1
pacaasnovos,Phonemic,1
pacahuara,Phonemic,1
paez,Phonemic,0
paliu,phonetic,0
panare,Phonemic,0
pear,phonetic,0
persian,Phonemic,0
phong,phonetic,0
phuthomphu,phonetic,0
pilaga,Phonemic,0
plwapalaungvariety,phonetic,0
polci,Phonemic,0
polish,StandardOrth,1
portuguese,StandardOrth,1
prai,phonetic,0
protoaustronesian,Phonemic,1
protopolynesian,Phonemic,1
puinave,Phonemic,0
punjabi,Phonemic,0
pusing,phonetic,0
qaukelao,Phonemic,0
qawasqar,Phonemic,0
rapanui,Phonemic,0
rapanui,Phonemic;Phonemic (vars),0
romanian,StandardOrth,1
romani,Phonemic,0
rotuman,Phonemic,0
rumai,phonetic,0
russian,Phonemic,1
rutulborchinokhnowdialect,CyrillTrans,0
rutulborchinokhnowdialect,CyrillTrans;Phonemic,0
rutul,CyrillTrans;Phonemic,0
rutulikhrekdialect,CyrillTrans,0
rutulikhrekdialect,CyrillTrans;Phonemic,0
rutulmukhrekdialect,CyrillTrans;Phonemic,0
rutulshinazdialect,CyrillTrans;Phonemic,0
samre,phonetic,0
sanapanaangaitedialect,Phonemic,0
sanapanaenlhetdialect,Phonemic,0
sanchongkelao,Phonemic,0
san,phonetic,0
sanskrit,LatinTrans,1
selknam,Phonemic,0
selkup,Phonemic,0
serbocroatian,Phonemic,0
seri,Phonemic,0
shannorthernshandialect,Phonemic,0
shan,Phonemic,0
shipiboconibo,Phonemic,1
siona,Phonemic,0
siriono,Phonemic,0
southernkam,,0
southerntaisongkhlavariety,Phonemic,0
spanish,Phonemic,1
sui,Phonemic,0
surinkhmer,phonetic,0
swedish,StandardOrth,1
tabasarannortherndialectkhanagsubdialect,CyrillTrans,0
tabasarannortherndialectkhanagsubdialect,CyrillTrans;Phonemic,0
tabasaransoutherndialect,CyrillTrans;Phonemic,0
tacana,Phonemic,1
taikhun,Phonemic,0
tailu,Phonemic,0
tamil,Phonemic,0
tehuelche,Phonemic,0
telugu,Phonemic,0
thaikoratvariety,Phonemic,0
thavungso,phonetic,0
thomunthm,phonetic,0
tibetan,Phonemic,0
tindi,CyrillTrans,0
tindi,CyrillTrans;Phonemic,0
tlingit,Phonemic,0
toba,Phonemic,0
tochariana,Phonemic,0
tocharianb,Phonemic,0
tongan,Phonemic,0
trinitario,Phonemic,0
trumai,Phonemic,0
tsakhur,CyrillTrans;Phonemic,0
tsakhurgelmetsdialect,CyrillTrans;Phonemic,0
tsezmokokdialect,CyrillTrans,0
tsezmokokdialect,CyrillTrans;Phonemic,0
tsezsagadadialect,CyrillTrans;Phonemic,0
tsimshian,Phonemic,0
tsovatush,CyrillTrans,0
tsovatush,CyrillTrans;Phonemic,0
tuamotuan,Phonemic,0
tul,phonetic,0
tum,phonetic,0
tuyuca,Phonemic,0
udi,CyrillTrans;Phonemic,0
udmurt,Phonemic,0
uncunwee,IPA,0
upperchehalis,Phonemic,0
vietnamese,phonetic,0
waiwai,Phonemic,0
waorani,Phonemic,0
wa,phonetic,0
wapishana,Phonemic,0
waura,Phonemic,0
wayampi,Phonemic,0
welsh,StandardOrth,1
wichi,Phonemic,0
xu,phonetic,0
yagan,Phonemic,0
yagua,Phonemic,1
yaminahua,Phonemic,1
yanomami,Phonemic,0
yaruro,Phonemic,0
yavitero,Phonemic,0
yiddish,Phonemic,0
yuwana,Phonemic,0
zhuanglongzhou,Phonemic,0
