Grapheme	IPA
'	NULL
':	NULL
'I	i
'Y	j
'_	+
'_h	+ h
'_s	+ s
'`	NULL
'a	a
'a'a	a a
'a:	aː
'aᵑ	a
'b	b
'bw	b w
'c	c
'ch	cʰ
'c̷	tʃ
'c̷ʰ	tʃʰ
'c̷ˀ	tʃˀ
'c̷̣	tʃ
'd	d
'dh	dʰ
'dʷ	dʷ
'dʸ	dʲ
'd͜z	dz
'e	e
'f	f
'fw	f w
'g	g
'gʸ	gʲ
'g̣	g
'h	h
'hw	h w
'hʷ	hʷ
'i	i
'j	j
'k	k
'kh	kʰ
'ks	k s
'kw	kʷ
'kʰ	kʰ
'kʷ	kʷ
'kʷˀ	kʷˀ
'kʸ	kʲ
'kˀ	kˀ
'k̈	q
'l	l
'lʸ	lʲ
'm	m
'mˀ	mˀ
'm̥	m̥
'n	n
'n'n	n n
'nʸ	nʲ
'nˀ	nˀ
'n̥	n̥
'o	o
'o:	oː
'p	p
'ph	pʰ
'phʷ	pʷʰ
'ps	p s
'pʰ	pʰ
'pˀ	pˀ
'r	r
'r̃	r
'r̃ʸ	rʲ
's	s
'sh	sʰ
'ss	sː
'sʸ	sʲ
't	t
'th	tʰ
'ts	ts
'tsh	tsʰ
'tʰ	tʰ
'tʸ	tʲ
'tˀ	tˀ
'u	u
'v	v
'w	w
'x	x
'xʷ	xʷ
'y	y
'y'y	y y
'z	z
'zh	dʒ
'È:	ɛː
'à	a
'à:	aː
'á	a
'ã	ã
'æ	æ
'æ̃	æ̃
'è	e
'è:	eː
'èw	e w
'é	e
'ì	i
'ì:	iː
'ð	ð
'ðʸ	ðʲ
'ñ	ɲ
'ñ̥	ɲ̊
'ò	o
'ò:	oː
'ó	o
'ós	o s
'õ	õ
'ö	ø
'ù	u
'ù:	uː
'ú	u
'ü	y
'üs	y s
'ü̃	ỹ
'ā	aː
'ā:	aː
'ās	aː s
'ās:	aː sː
'āw	aː w
'āʃ	aː ʃ
'č	tʃ
'čʰ	tʃʰ
'čʸ	tʃʲ
'čˀ	tʃˀ
'ē	eː
'ēs	eː s
'ĩ	ĩ
'ī	iː
'ĭ	i
'ľ	l
'ľ̥	l̥
'ń	ɲ
'ŋ	ŋ
'ō	oː
'ōs	oː s
'ōw	oː w
'š	ʃ
'šʸ	ʃʲ
'ũ	ũ
'ū	uː
'ž	ʒ
'ǣ	æː
'ǰ	dʒ
'ɓ	ɓ
'ɔ	ɔ
'ɔ̀	ɔ
'ɔ̀:	ɔː
'ɔ̄	oː
'ɗ	ɗ
'ə	ə
'ɛ̀:	ɛː
'ɛ̃	ɛ̃
'ɛ̄	ɛː
'ɣ	ɣ
'ɣh	ɣʰ
'ɣʷ	ɣʷ
'ɨ	ɨ
'ɨ̃	ɨ̃
'ɨ̯	ɨ
'ɪ	ɪ
'ɬ	ɬ
'ɲ	ɲ
'ɲ̥	ɲ̊
'ɳ	ɳ
'ɽ	ɽ
'ʁ	ʁ
'ʈ	ʈ
'ʊ	ʊ
'ʊ̀	ʊ
'ʊ̃	ʊ̃
'ʔ	ʔ
'ʔh	ʔʰ
'ʔs	ʔ s
'ʔw	ʔ w
'ʔʸ	ʔʲ
'ʰ	ʔʰ
'ˀ	ʔˀ
'̀	NULL
'́	NULL
'̃	NULL
'̣	NULL
'Φ	ɱ
'β	β
'βʸ	βʲ
'θ	θ
'χ	χ
'χʷ	χʷ
'ᵐ	NULL
'ḳ	q
'ḳʷ	qʷ
